Airline,HUB_Airports
UA,ORD DEN IAH LAX EWR SFO IAD
AA,ORD DFW MIA CLT JFK LGA PHL PHX DCA
US,CLT LAS PHL PHX PIT DCA
F9,ATL MDW CLE DFW DEN LAS MIA MCO PHL PHX TPA
B6,BOS FLL LAX JFK MCO SJU
OO,ORD DFW DEN DET IAH LAX MSP PHX PDX SLC SFO SEA
AS,ANC LAX PDX SFO SEA
NK,ATL ACY ORD DFW DET FLL IAH LAS MIA MCO
WN,DAL HOU ATL MCO BWI LAS DEN LAX MDW OAK PHX 
DL,ATL BOS JFK DET LAX MSP LGA SLC SEA
EV,ORD IAD ATL DTW
HA,HNL OGG
MQ,CLT ORD DFW LAX MIA JFK LGA PHL PHX DCA
VX,LAX SFO
